"","India_Potatoes","India_Rice_Paddy","India_Sugar_Cane","India_Wheat","Philippines_Bananas","Philippines_Coconuts","Philippines_Rice_Paddy","Rwanda_Bananas","Rwanda_Beans_Dry","Rwanda_Cassava","Rwanda_Maize","Rwanda_Potatoes","Rwanda_Rice_Paddy","Rwanda_Sweet_Potatoes","World_Potatoes","World_Rice_Paddy","World_Sugar_Cane","World_Wheat","World_Bananas","World_Coconuts","World_Beans_Dry","World_Cassava","World_Maize","World_Sweet_Potatoes"
"1","  15205600"," 112042000"," 241045504","  55134496","  3662305"," 11292500","  9673262","  3092900","   205000","   396000","   104000","   445000","    16400","  1000000"," 256990489"," 518515198","1086955621"," 547820746"," 51197361"," 43997461"," 18015992","160406310","494393020","123695347"
"2","  18195000"," 109001200"," 254000000","  55689504","  3723887"," 11580400","  9128940","  3547200","   180000","   261000","    98000","   347000","    16100","  1055200"," 278978102"," 527880217","1107581109"," 565111965"," 55619751"," 45733623"," 17145092","162007206","533774898","123235349"
"3","  18479000"," 120400000"," 228030000","  57210100","  3809372"," 11669480","  9434208","  2136000","   137000","   291000","    87000","   204159","    13200","   997100"," 304620094"," 529599457","1020881319"," 564739850"," 56368709"," 47116982"," 16478073","163185040","477207493","131539781"
"4","  17392400"," 122640000"," 229670000","  59840000","  3916386"," 11837160"," 10538054","  1489000","    34800","   212000","    67000","   114900","     4500","   739300"," 270202139"," 538592267","1084097363"," 525435518"," 58060038"," 48615967"," 17622597","164499642","568650520","125483486"
"5","  17401300"," 115440000"," 275540000","  65767400","  4236253"," 12790840"," 10540649","  2002000","   126000","   148000","    56000","   137700","     2300","   550500"," 285332356"," 547161910","1163366854"," 544357722"," 58752431"," 50407356"," 17797786","161781376","517286851","135995270"
"6","  18843300"," 122500000"," 281100000","  62097400","  4229142"," 11936720"," 11283568","  2105000","   174347","   220638","    66595","   195381","     6596","   664601"," 310493373"," 568659290","1218890120"," 578616482"," 58034226"," 49443218"," 17112479","158349737","586134845","141999140"
"7","  24215900"," 123700000"," 277560000","  69350200","  4407665"," 13707837"," 11268963","  2248419","   133715","   202994","    83427","   229625","     9805","   741624"," 301077285"," 577136813","1246425302"," 614651068"," 62769664"," 50144984"," 16533690","161745812","584401847","121314197"
"8","  17652300"," 129055000"," 279541504","  66345000","  4106698"," 12806429","  8554824","  2625485","   153917","   188182","    58618","   181138","     7935","   751141"," 297833504"," 578813849","1263674255"," 596175828"," 64915704"," 49008054"," 16617610","162613342","615072804","134820581"
"9","  22494700"," 134495904"," 310332800","  71287504","  4570640"," 11589010"," 11786625","  2897433","   140426","   316934","    54912","   175889","     8919","   862562"," 296077179"," 611177382","1282128487"," 584763307"," 69950718"," 49343434"," 17960894","168847228","607426254","147211692"
"10","  25000100"," 127464896"," 299323904","  76368896","  4929570"," 12994654"," 12389412","  2212250","   215347","   820992","    62501","   957202","    11654","  1032916"," 322776909"," 598668913","1252668869"," 584999207"," 67215551"," 51225627"," 17850853","175846655","592030667","139705138"
"11","  22242700"," 139900000"," 295956000","  69680896","  5059360"," 13146052"," 12954870","  1784058","   242157","   788910","    80979","  1012269","    15610","  1156359"," 305494691"," 600246854","1257665371"," 588243714"," 70057548"," 51972309"," 18487075","181686794","615143531","136123436"
"12","  24456100"," 107730304"," 297207808","  72766304","  5274826"," 14068495"," 13270653","  2784870","   246906","  1031077","    91686","  1038931","    20976","  1292361"," 309805345"," 571051413","1326773973"," 591981120"," 72916972"," 53567322"," 20145275","182645712","603544019","136725258"
"13","  23161400"," 132789000"," 287383200","  65760800","  5368977"," 14294203"," 13499884","  2407837","   239394","  1003078","    78886","  1099549","    27891","   868204"," 307594346"," 586931536","1371880997"," 550053296"," 74944691"," 54282320"," 21383396","192216068","645048171","130916594"
"14","  27925800"," 124697104"," 233861792","  72156200","  5631250"," 14366184"," 14496784","  2469740","   198224","   765748","    88209","  1072770","    46191","   908306"," 328181112"," 607348747","1333138427"," 634873110"," 79405360"," 54959741"," 18675718","203832728","729511789","130798687"
"15","  28787700"," 137690096"," 237088400","  68636896","  6298225"," 14824585"," 14603005","  2593080","   199648","   781639","    97251","  1314050","    62194","   885648"," 317670677"," 634225704","1306307695"," 626943103"," 83666488"," 57425406"," 19289063","206534756","714185792","127853291"
"16","  29174600"," 139136992"," 281171808","  69354496","  6794564"," 14957910"," 15326706","  2653348","   283387","   765198","    96662","  1275585","    62932","   777034"," 297111360"," 640705682","1417376025"," 614538247"," 88653166"," 57926271"," 21187039","223636673","707932497","106705955"
"17","  28599600"," 144570000"," 355519712","  75806704","  7484073"," 14852927"," 16240194","  2686000","   329000","   779414","   101659","   967283","    62000","   841000"," 314208463"," 656556275","1605136205"," 606681080"," 94418759"," 61918578"," 21751804","226974320","793055503","101277380"
"18","  34658000"," 148036000"," 348187904","  78570200","  8687624"," 15319527"," 16815548","  2604000","   308000","  1681823","   166853","  1161943","    82000","   826000"," 329400666"," 687050572","1721251533"," 681015069"," 98764392"," 60356136"," 21909737","231076756","829236755","103260312"
"19","  34390900"," 135672992"," 285029312","  80679400","  9013186"," 15667565"," 16266417","  2993482","   326532","  2019741","   286946","  1289623","    81081","   803228"," 334135620"," 685656732","1677610603"," 684192213","103423105"," 61264848"," 22019848","235000863","820069886","103138058"
"20","  36577300"," 143963008"," 292301600","  80803600","  9101341"," 15510283"," 15772319","  2749152","   327497","  2377213","   432404","  1789404","    67253","   840072"," 332513046"," 701108595","1683040035"," 640327135","108665134"," 60103624"," 24663067","240698482","851348928","102433607"
"21","  42339400"," 157900000"," 342382016","  86874000","  9165046"," 15244609"," 16684062","  3036273","   331166","  2579000","   525679","  2171518","    80541","   845099"," 374484314"," 726375708","1794327152"," 697697675","109430205"," 58443814"," 24120029","253426158","886007062","105401235"
"22","  41483000"," 157800000"," 361036992","  94880000","  9226768"," 15863801"," 18032525","  3219465","   432857","  2716421","   573038","  2337706","    84079","  1005305"," 369073364"," 736261173","1830940831"," 672724051","107810272"," 61875921"," 24453279","261435721","874240510","101813946"
"23","  45343600"," 159200000"," 341200000","  93510000","  8646417"," 15354334"," 18439420","   3291853","    438236","   2948121","    667833","   2240715","     93746","   1081224"," 374721105"," 741986874","1901685780"," 710956882","110514408"," 62069399","  24617270"," 261510246","1015400446"," 103399006"
"24","  46395000"," 157200000"," 352142000","  95850000","  5707074"," 14696298"," 18967826","   2887440","    415259","   3165172","    583096","   1886082","     72723","    940786"," 380967206"," 742425600","1884729412"," 733534429","111310739"," 60977226","  26854288"," 274331598","1038330655"," 104574239"
"25","  48009000"," 156540000"," 362333000","  86530000","  5840124"," 14735189"," 18149838","   2980546","    434077","   3356232","    370140","   1502759","     97435","    931027"," 376811720"," 740084696","1886875329"," 736984917","115239574"," 59242106","  27644185"," 276608356","1010609468"," 103880917"
