"","Area","Item","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"16977","India","Anise, badian, fennel, coriander",89749,154200,179637,108812,110000,133293,148759,160133,171816,166692,244943,162362,254737,227099,261170,268776,396517,397286,392379,419600,537277,537330,546173,584000,546000
"16980","India","Apples",1175005,1147743,1168252,1300000,1200000,1211379,1308390,1320590,1380000,1050000,1230000,1160000,1470000,1521600,1739000,1814000,1624000,2001000,1985000,1777200,2891000,2203400,1915000,2497680,2134000
"16983","India","Apricots",6200,6500,6800,7000,7300,7900,8100,8400,9400,9900,10000,10230,10549,10927,11344,11839,12294,12838,13228,13572,13850,14083,14079,14074,14161
"16986","India","Areca nuts",238500,243200,256300,271100,289700,295500,307700,333900,310000,330000,330000,4e+05,415900,439200,452700,483100,483300,476000,481300,478000,478000,681000,609000,622000,747000
"16989","India","Bananas",7853100,8523000,9945000,10686000,10182000,10299000,13340000,15100000,16810000,14137300,14209900,13304400,13856600,16744500,18887800,20997800,23823000,26217000,26469500,29780000,28455100,26509000,27575000,29724550,29221000
"16992","India","Barley",1632400,1698700,1512400,1312700,1283000,1510000,1462000,1679400,1537800,1447000,1430600,1424500,1407400,1297600,1207100,1220600,1330000,1200000,1689100,1354700,1662900,1620000,1750000,1830000,1613000
"16996","India","Bastfibres, other",286900,231400,230100,235600,235300,282600,190800,175392,200250,203364,223074,196992,180306,165834,157140,156618,172080,178200,131580,106400,115700,113000,108000,103325,96914
"16999","India","Beans, dry",3529000,3870400,3274700,3057400,3440000,3507800,2955800,2557600,2866000,2847000,3296200,2618800,4230800,2883900,2630800,3270000,3930000,3010000,2430000,4890000,4330000,3710000,3630000,4230000,4260000
"17003","India","Beans, green",374000,380000,385000,388000,390000,4e+05,405338,410000,416719,420000,432612,443095,454051,465345,504796,521481,537775,554344,570535,586130,600983,620000,620000,636127,647965
"17006","India","Berries nes",822,880,938,1003,1051,1100,1200,1200,1300,1370,1400,1469,1538,1582,1639,1697,1754,1812,1869,1927,1984,2042,2099,2157,2214
"17009","India","Cabbages and other brassicas",2796431,4357050,3590000,3910000,4262500,4615000,4967500,5320000,5620000,5909400,5506500,5678200,5392000,5594600,6113500,5637300,5584000,5910000,6869600,7281400,7949000,8412000,8534000,9039220,8585000
"17012","India","Carrots and turnips",287000,293000,295000,300331,3e+05,320000,340000,342968,350203,350000,367958,380028,392360,404756,419380,432526,445799,459133,472475,485780,499006,520000,520000,532110,543854
"17015","India","Cashew nuts, with shell",294590,305310,350000,350000,321640,417830,430000,360000,460000,520000,450000,470000,5e+05,535000,544000,573000,620000,665000,695000,613000,674600,725000,753000,753000,745000
"17018","India","Cassava",5416200,5832500,5412800,6028900,5856800,5443200,5662800,6681900,5830000,6014100,6768400,6515900,5426200,5949600,7462800,7854900,8232300,9056000,9623000,8059800,8076000,8746500,7236600,8139430,4373000
"17021","India","Castor oil seed",577000,623000,634800,845000,780000,902000,829000,840300,765100,882800,652700,428000,796700,793400,990700,762000,1053000,1171100,1009000,1350000,2295000,1964000,1727000,1870000,1752000
"17025","India","Cauliflowers and broccoli",2998061,4220053,2870000,3780000,4e+06,4500000,5e+06,4470000,4690000,4720000,4690000,4890000,4800000,4940200,4514800,5323100,5538000,5777000,6531900,6569000,6745000,7349000,7887000,8573280,7926000
"17028","India","Cherries",3700,3800,4000,4200,4400,4800,4900,5100,7400,7800,8000,8203,8449,8680,8896,9042,9222,9360,9467,9621,9770,9908,9970,10640,11048
"17031","India","Chick peas",5356400,4121000,4416700,4980800,6435500,4979000,5565900,6132200,6800700,5118100,3855400,5473000,4236800,5717500,5469400,5575400,6333700,5748600,7060000,7480000,8220000,7700000,8832500,9530000,7330000
