"Year", "India", "Philippines", "Rwanda", "World"
1991, 888054875, 63508459, 7051759, 5372078249
1992, 906021106, 65075486, 6701851, 5456141249
1993, 924057817, 66650247, 6299909, 5541075501
1994, 942204249, 68236230, 6005095, 5624840414
1995, 960482795, 69835715, 5928078, 5709757338
1996, 978893217, 71446107, 6115168, 5792568347
1997, 997405318, 73064764, 6522382, 5875398158
1998, 1015974042, 74693695, 7059813, 5957237460
1999, 1034539214, 76335812, 7593239, 6038067278
2000, 1053050912, 77991569, 8025703, 6118075293
2001, 1071477855, 79665315, 8329406, 6197638117
2002, 1089807112, 81352060, 8536205, 6276824418
2003, 1108027848, 83031954, 8680346, 6356259574
2004, 1126135777, 84678493, 8818438, 6436346998
2005, 1144118674, 86274237, 8991735, 6517020798
2006, 1161977719, 87809419, 9206580, 6598421257
2007, 1179681239, 89293490, 9447402, 6680423047
2008, 1197146906, 90751864, 9708169, 6763745673
2009, 1214270132, 92220879, 9977446, 6847214549
2010, 1230980691, 93726624, 10246842, 6930656699
2011, 1247236029, 95277940, 10516071, 7012843635
2012, 1263065852, 96866642, 10788853, 7097400665
2013, 1278562207, 98481032, 11065151, 7182860115
2014, 1293859294, 100102249, 11345357, 7268986176
2015, 1309053980, 101716359, 11629553, 7355220412
