"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Agriculture, value added (constant 2010 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11089385.4748603","","","","","","","",
"Afghanistan","AFG","Agriculture, value added (constant 2010 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3524250083.91464","3622901714.25262","2817259046.63666","3315901395.97778","3146515866.63392","3608888926.72396","3070561158.32921","4438970474.01497","4156039155.27831","3840559846.98805","4540493791.62985","4540728570.03841","4536167082.95696","4279539743.84688","4535103186.19057","",
"Angola","AGO","Agriculture, value added (constant 2010 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Agriculture, value added (constant 2010 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","882336424.74798","899710318.786987","906227684.344024","985610020.557925","944731384.96215","1005129140.11122","1043378495.81925","1010802104.70751","945424389.230261","1064793844.78733","1103501787.11007","911490129.891273","1080097636.58394","1192502725.55486","1291434041.90745","1461999725.28029","1505789235.54504","1248146736.10733","1326031787.50037","1397583740.78897","1491051095.61885","1531232032.36039","1562633268.14143","1608627394.88723","1710026020.48566","1721892791.50142","1775710881.36309","1824181074.56348","1952219048.78706","1989440987.64159","2141586512.52112","2243812101.33939","2364862629.32286","2391649674.37676","2438693250.12884","2457865220.12557","2474578835.96029","",
"Andorra","AND","Agriculture, value added (constant 2010 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16768211.9205298","","","","","","","",
"Arab World","ARB","Agriculture, value added (constant 2010 US$)","NV.AGR.TOTL.KD","","","","","","29943816297.0103","26465349271.2654","27731506710.9131","29664097230.1282","30028972275.1425","31986394463.8484","33326971161.8962","35201277443.2889","33860549095.489","36403725422.2629","37629051467.2539","40470536630.0545","41403395895.7343","42275866597.3116","41308536234.9111","42999682787.4917","43501537063.8022","47441947191.728","46485544280.7992","48815658944.684","51902908266.798","56136534160.9854","57644050947.0756","59662758125.2094","65752430746.8531","64602830465.2466","67294139868.8505","69273113416.7579","69407535118.1874","72482136088.9537","71885985113.081","81832028680.0206","81220068672.0348","86603178946.2926","88221976773.2918","86468697700.3397","90527824259.2509","93524386950.6188","95672868300.6262","99209635474.6907","101691797498.397","107630439188.149","104020383846.444","105831887569.221","112382162822.395","116496682492.695","123572258006.102","127851573795.759","135267839607.789","136378495607.366","136174968259.377","140186364469.499","",
"United Arab Emirates","ARE","Agriculture, value added (constant 2010 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3312851409.12185","3419210728.38666","3312851409.12185","3247585459.49626","3117053533.01566","2847831477.19537","2795256147.0388","2490681688.22328","2480710496.93669","2219646698.43431","2230832375.76583","2146570837.30429","2194961334.24098","2200759509.87066","2242709298.84275","2338476296.80054","",
"Argentina","ARG","Agriculture, value added (constant 2010 US$)","NV.AGR.TOTL.KD","","","","","","12505389941.9388","12620124776.2887","12941372492.0771","12390669678.7184","12941372492.0771","11739003178.1437","11923730021.3484","12153169008.198","13455348910.6314","13822464178.1673","13442731632.0091","14077180720.8402","14421355311.8353","14822903863.2674","15247408377.18","14490626902.0463","14924603255.067","15780400504.8176","16032735685.0235","16044872721.2069","15737994558.6049","15764217313.3663","15334317797.4639","16529315164.5199","15170839235.3309","16456640253.2926","17130784062.8847","17167195153.4407","18204183104.6049","19564422977.5613","20664897180.8094","20427136913.8857","20521331576.8639","22312966996.6774","22863827863.9774","22462617266.9454","22698853675.4169","22180285594.1923","23704473232.1018","23358935261.9141","27747724013.2104","27601895624.8531","29958430353.5939","29303592590.6087","21654928123.2901","30213817111.0998","29480079640.6177","25684474254.8533","28632183665.8799","29520999141.1149","31770755182.0516","30040436452.1598","",
"Armenia","ARM","Agriculture, value added (constant 2010 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1004331057.10426","984244468.812599","898615187.271616","846495526.654481","872736851.544319","907646349.684602","925751064.597609","884096526.933092","997784586.818177","1011753620.57484","1000624330.73001","1122071419.4664","1165484556.25401","1214589951.64956","1391166373.03977","1548064205.29388","1555550609.0049","1715772446.48636","1767245620.04995","1871911693.02757","1574169600.47958","1794553344.4582","1965035912.38895","2114378641.53254","2243355738.85675","2539478696.10257","2392188931.89521","",
"American Samoa","ASM","Agriculture, value added (constant 2010 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
