pr;"	Year"; Month; Country; ISO3; ISO2
89,9468;1991;1;RWA;;
116,775;1991;2;RWA;;
133,483;1991;3;RWA;;
159,844;1991;4;RWA;;
156,446;1991;5;RWA;;
56,796;1991;6;RWA;;
25,3732;1991;7;RWA;;
41,9222;1991;8;RWA;;
59,6996;1991;9;RWA;;
161,619;1991;10;RWA;;
107,721;1991;11;RWA;;
89,2806;1991;12;RWA;;
71,3849;1992;1;RWA;;
80,3828;1992;2;RWA;;
117,872;1992;3;RWA;;
145,735;1992;4;RWA;;
122,92;1992;5;RWA;;
55,7198;1992;6;RWA;;
8,69752;1992;7;RWA;;
15,9832;1992;8;RWA;;
97,3843;1992;9;RWA;;
144,156;1992;10;RWA;;
132,492;1992;11;RWA;;
114,693;1992;12;RWA;;
133,367;1993;1;RWA;;
86,8183;1993;2;RWA;;
133,056;1993;3;RWA;;
132,037;1993;4;RWA;;
148,137;1993;5;RWA;;
40,6326;1993;6;RWA;;
0,68088;1993;7;RWA;;
67,1853;1993;8;RWA;;
39,0972;1993;9;RWA;;
65,5487;1993;10;RWA;;
126,81;1993;11;RWA;;
117,857;1993;12;RWA;;
124,322;1994;1;RWA;;
81,0759;1994;2;RWA;;
183,914;1994;3;RWA;;
165,588;1994;4;RWA;;
129,78;1994;5;RWA;;
25,0256;1994;6;RWA;;
8,07719;1994;7;RWA;;
41,1137;1994;8;RWA;;
85,1463;1994;9;RWA;;
118,901;1994;10;RWA;;
183,167;1994;11;RWA;;
139,574;1994;12;RWA;;
83,3222;1995;1;RWA;;
85,7247;1995;2;RWA;;
144,215;1995;3;RWA;;
166,393;1995;4;RWA;;
136,872;1995;5;RWA;;
77,6149;1995;6;RWA;;
14,553;1995;7;RWA;;
3,9251;1995;8;RWA;;
76,8124;1995;9;RWA;;
135,234;1995;10;RWA;;
138,464;1995;11;RWA;;
97,2305;1995;12;RWA;;
103,421;1996;1;RWA;;
106,576;1996;2;RWA;;
141,568;1996;3;RWA;;
124,272;1996;4;RWA;;
67,7114;1996;5;RWA;;
49,8244;1996;6;RWA;;
28,6697;1996;7;RWA;;
68,2098;1996;8;RWA;;
92,6474;1996;9;RWA;;
94,4232;1996;10;RWA;;
127,375;1996;11;RWA;;
94,84;1996;12;RWA;;
218,886;1997;1;RWA;;
19,4455;1997;2;RWA;;
95,2216;1997;3;RWA;;
184,078;1997;4;RWA;;
116,823;1997;5;RWA;;
33,7971;1997;6;RWA;;
17,1068;1997;7;RWA;;
29,0655;1997;8;RWA;;
26,4715;1997;9;RWA;;
195,751;1997;10;RWA;;
181,142;1997;11;RWA;;
155,759;1997;12;RWA;;
170,897;1998;1;RWA;;
145,166;1998;2;RWA;;
180,14;1998;3;RWA;;
140,525;1998;4;RWA;;
142,094;1998;5;RWA;;
28,8747;1998;6;RWA;;
7,42504;1998;7;RWA;;
15,7659;1998;8;RWA;;
94,8155;1998;9;RWA;;
145,454;1998;10;RWA;;
120,536;1998;11;RWA;;
100,523;1998;12;RWA;;
144,932;1999;1;RWA;;
18,8987;1999;2;RWA;;
177,191;1999;3;RWA;;
107,342;1999;4;RWA;;
56,9268;1999;5;RWA;;
1,94187;1999;6;RWA;;
0,98817;1999;7;RWA;;
106,332;1999;8;RWA;;
75,0827;1999;9;RWA;;
111,888;1999;10;RWA;;
175,324;1999;11;RWA;;
118,315;1999;12;RWA;;
74,3311;2000;1;RWA;;
62,6297;2000;2;RWA;;
176,009;2000;3;RWA;;
119;2000;4;RWA;;
111,73;2000;5;RWA;;
9,94954;2000;6;RWA;;
9,10133;2000;7;RWA;;
15,409;2000;8;RWA;;
39,5787;2000;9;RWA;;
140,321;2000;10;RWA;;
170,694;2000;11;RWA;;
131,735;2000;12;RWA;;
228,547;2001;1;RWA;;
77,5024;2001;2;RWA;;
181,29;2001;3;RWA;;
97,3221;2001;4;RWA;;
80,1601;2001;5;RWA;;
7,5475;2001;6;RWA;;
63,3064;2001;7;RWA;;
53,2855;2001;8;RWA;;
119,525;2001;9;RWA;;
153,13;2001;10;RWA;;
200,702;2001;11;RWA;;
126,912;2001;12;RWA;;
191,208;2002;1;RWA;;
110,661;2002;2;RWA;;
148,556;2002;3;RWA;;
140,836;2002;4;RWA;;
150,532;2002;5;RWA;;
6,61374;2002;6;RWA;;
1,51348;2002;7;RWA;;
21,1581;2002;8;RWA;;
35,5055;2002;9;RWA;;
116,802;2002;10;RWA;;
157,474;2002;11;RWA;;
172,962;2002;12;RWA;;
92,7836;2003;1;RWA;;
78,2805;2003;2;RWA;;
152,73;2003;3;RWA;;
176,312;2003;4;RWA;;
