year;imp_sug;imp_veg;imp_cer
1995;127536,28;515668,26;28657,42
1996;11761,72;577976,95;73854,11
1997;115966,82;672930,36;200977,64
1998;260101,51;610424,3;220924,06
1999;279679,13;650280,53;224322,55
2000;50722,31;763328,93;59346,81
2001;26256,35;1140824,79;25910,95
2002;26033,65;1341905,34;28076,32
2003;34059,8;1268338,71;26632,87
2004;264988,13;1648128,12;40324,32
2005;392228,85;2218529,34;44490,81
2006;35028,92;1850416,44;670654,55
2007;62315,15;2050455,83;992976,84
2008;95301,39;2700143,15;279799,52
2009;1419642,41;3301791,79;70228,25
2010;1331284,02;3229160,21;183639,54
2011;191642,14;4318063,85;83783,61
2012;559951,16;4424932,41;96741,15
2013;547922,02;4765447,53;112477,13
2014;737664,8;5504907,36;190857,14
2015;612375,67;6317271,19;244035,91
2016;984293,55;6854933,11;600572,2
