entity;code;year;daily_caloric_supply 
India;IND;1934;1970
India;IND;1946;1700
India;IND;1947;1685
India;IND;1948;1570
India;IND;1961;2010
India;IND;1962;2052
India;IND;1963;1973
India;IND;1964;1995
India;IND;1965;1931
India;IND;1966;1939
India;IND;1967;1991
India;IND;1968;2010
India;IND;1969;2036
India;IND;1970;2111
India;IND;1971;1990
India;IND;1972;1985
India;IND;1973;2046
India;IND;1974;1938
India;IND;1975;2060
India;IND;1976;1923
India;IND;1977;2106
India;IND;1978;2148
India;IND;1979;2025
India;IND;1980;1994
India;IND;1981;2056
India;IND;1982;2029
India;IND;1983;2208
India;IND;1984;2215
India;IND;1985;2158
India;IND;1986;2160
India;IND;1987;2173
India;IND;1988;2276
India;IND;1989;2367
India;IND;1990;2205
India;IND;1991;2297
India;IND;1992;2333
India;IND;1993;2269
India;IND;1994;2292
India;IND;1995;2324
India;IND;1996;2344
India;IND;1997;2369
India;IND;1998;2361
India;IND;1999;2398
India;IND;2000;2380
India;IND;2001;2333
India;IND;2002;2285
India;IND;2003;2282
India;IND;2004;2256
India;IND;2005;2270
India;IND;2006;2334
India;IND;2007;2400
India;IND;2008;2427
India;IND;2009;2415
India;IND;2010;2442
India;IND;2011;2455
India;IND;2012;2435
India;IND;2013;2459
India;IND;2014;2454
India;IND;2015;2456
