year;prod_amount_y;cm_name
2001;93340;Rice
2002;71820;Rice
2003;88526;Rice
2004;83132;Rice
2005;91793;Rice
2006;93355;Rice
2007;96693;Rice
2008;99172;Rice
2009;89083;Rice
2010;95970;Rice
2011;105301;Rice
2012;105241;Rice
2013;106646;Rice
2014;105482;Rice
2015;104320;Rice
2016;93880;Rice
2001;72766;Wheat
2002;65761;Wheat
2003;72156;Wheat
2004;68637;Wheat
2005;69355;Wheat
2006;75807;Wheat
2007;78570;Wheat
2008;80679;Wheat
2009;80804;Wheat
2010;86874;Wheat
2011;94882;Wheat
2012;93506;Wheat
2013;95850;Wheat
2014;86527;Wheat
2015;93500;Wheat
2016;Na;Wheat
2001;297208;Sugar
2002;287383;Sugar
2003;233862;Sugar
2004;237088;Sugar
2005;281172;Sugar
2006;355520;Sugar
2007;348188;Sugar
2008;285029;Sugar
2009;292302;Sugar
2010;342382;Sugar
2011;361037;Sugar
2012;341200;Sugar
2013;352142;Sugar
2014;362333;Sugar
2015;361121;Sugar
2016;Na;Sugar
2001;23924;Potatoes
2002;23269;Potatoes
2003;23060;Potatoes
2004;23631;Potatoes
2005;23905;Potatoes
2006;22181;Potatoes
2007;34658;Potatoes
2008;34391;Potatoes
2009;36577;Potatoes
2010;42339;Potatoes
2011;41483;Potatoes
2012;45344;Potatoes
2013;41555;Potatoes
2014;45951;Potatoes
2015;45523;Potatoes
2016;Na;Potatoes
