tas;"	Year"; Month; Country
16,642;1991;1;IND
20,0355;1991;2;IND
24,1889;1991;3;IND
27,3531;1991;4;IND
30,2605;1991;5;IND
28,9311;1991;6;IND
27,6065;1991;7;IND
26,2556;1991;8;IND
26,4251;1991;9;IND
24,5762;1991;10;IND
20,7631;1991;11;IND
17,6094;1991;12;IND
16,8263;1992;1;IND
18,4072;1992;2;IND
24,01;1992;3;IND
27,6323;1992;4;IND
29,5222;1992;5;IND
29,7876;1992;6;IND
27,5861;1992;7;IND
26,2313;1992;8;IND
25,9002;1992;9;IND
24,6237;1992;10;IND
21,0987;1992;11;IND
17,7518;1992;12;IND
17,3253;1993;1;IND
20,1322;1993;2;IND
22,7286;1993;3;IND
27,3275;1993;4;IND
30,2263;1993;5;IND
29,9435;1993;6;IND
27,2327;1993;7;IND
26,7428;1993;8;IND
26,1197;1993;9;IND
25,069;1993;10;IND
21,4534;1993;11;IND
17,7935;1993;12;IND
17,9238;1994;1;IND
19,1701;1994;2;IND
24,8727;1994;3;IND
27,0726;1994;4;IND
30,4812;1994;5;IND
29,1086;1994;6;IND
26,485;1994;7;IND
26,2782;1994;8;IND
26,2237;1994;9;IND
24,5888;1994;10;IND
21,0012;1994;11;IND
17,6513;1994;12;IND
16,0098;1995;1;IND
19,5858;1995;2;IND
23,1747;1995;3;IND
27,3325;1995;4;IND
29,9605;1995;5;IND
30,6515;1995;6;IND
27,4612;1995;7;IND
26,7623;1995;8;IND
26,5087;1995;9;IND
25,3159;1995;10;IND
21,2798;1995;11;IND
18,3955;1995;12;IND
17,8268;1996;1;IND
20,0398;1996;2;IND
25,0059;1996;3;IND
27,717;1996;4;IND
30,309;1996;5;IND
29,4867;1996;6;IND
27,3916;1996;7;IND
26,0153;1996;8;IND
26,5663;1996;9;IND
24,4623;1996;10;IND
20,9472;1996;11;IND
17,6419;1996;12;IND
16,5397;1997;1;IND
18,7763;1997;2;IND
23,9615;1997;3;IND
26,2504;1997;4;IND
29,1176;1997;5;IND
29,0985;1997;6;IND
27,5368;1997;7;IND
26,4873;1997;8;IND
26,3174;1997;9;IND
24,1876;1997;10;IND
21,6311;1997;11;IND
17,8159;1997;12;IND
17,2569;1998;1;IND
