"location","flow","product","partner","Unit","Date","Value"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","1995","61.207"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","1996","8.49499999999999"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","1997","62.89"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","1998","0.511"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","1999","22.314"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2000","59.371"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2001","21.443"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2002","2.226"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2003","94.655"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2004","32.466"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2005","48.965"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2006","136.302"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2007","965.73"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2008","1542.566"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2009","374.505"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2010","1748.831"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2011","11863.074"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2012","42537.744"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2013","48461.88"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2014","45807.161"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2015","54746.386"
"Rwanda","Exports","Cereals and cereal preparations","World","thousand USD","2016","68101.611"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","1995","17638.763"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","1996","27920.732"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","1997","24327.324"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","1998","33158.789"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","1999","18921.269"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2000","12906.5"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2001","18180.331"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2002","11940.656"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2003","7624.831"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2004","13497.548"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2005","24370.739"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2006","24113.337"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2007","37870.336"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2008","73593.878"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2009","53003.605"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2010","66710.322"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2011","98817.871"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2012","106675.859"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2013","130935.212"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2014","142335.127"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2015","114962.671"
"Rwanda","Imports","Cereals and cereal preparations","World","thousand USD","2016","84837.385"
