Domain Code,Domain,Area Code,Area,ISO Currency Code,Currency,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"PE","Exchange rates - Annual","184","Rwanda","RWF","Rwanda Franc","22027","Exchange rate","1970","1970","","100","XAM","Data from UNSD AMA"
"PE","Exchange rates - Annual","184","Rwanda","RWF","Rwanda Franc","22027","Exchange rate","1971","1971","","99.7073","XAM","Data from UNSD AMA"
"PE","Exchange rates - Annual","184","Rwanda","RWF","Rwanda Franc","22027","Exchange rate","1972","1972","","92.105","XAM","Data from UNSD AMA"
"PE","Exchange rates - Annual","184","Rwanda","RWF","Rwanda Franc","22027","Exchange rate","1973","1973","","83.922","XAM","Data from UNSD AMA"
"PE","Exchange rates - Annual","184","Rwanda","RWF","Rwanda Franc","22027","Exchange rate","1974","1974","","92.9785","XAM","Data from UNSD AMA"
"PE","Exchange rates - Annual","184","Rwanda","RWF","Rwanda Franc","22027","Exchange rate","1975","1975","","92.2773","XAM","Data from UNSD AMA"
"PE","Exchange rates - Annual","184","Rwanda","RWF","Rwanda Franc","22027","Exchange rate","1976","1976","","97.0123","XAM","Data from UNSD AMA"
"PE","Exchange rates - Annual","184","Rwanda","RWF","Rwanda Franc","22027","Exchange rate","1977","1977","","95.9351","XAM","Data from UNSD AMA"
"PE","Exchange rates - Annual","184","Rwanda","RWF","Rwanda Franc","22027","Exchange rate","1978","1978","","89.4879","XAM","Data from UNSD AMA"
"PE","Exchange rates - Annual","184","Rwanda","RWF","Rwanda Franc","22027","Exchange rate","1979","1979","","86.6907","XAM","Data from UNSD AMA"
"PE","Exchange rates - Annual","184","Rwanda","RWF","Rwanda Franc","22027","Exchange rate","1980","1980","","86.0639","XAM","Data from UNSD AMA"
"PE","Exchange rates - Annual","184","Rwanda","RWF","Rwanda Franc","22027","Exchange rate","1981","1981","","87.1603","XAM","Data from UNSD AMA"
"PE","Exchange rates - Annual","184","Rwanda","RWF","Rwanda Franc","22027","Exchange rate","1982","1982","","93.06","XAM","Data from UNSD AMA"
"PE","Exchange rates - Annual","184","Rwanda","RWF","Rwanda Franc","22027","Exchange rate","1983","1983","","96.0939","XAM","Data from UNSD AMA"
