"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","363.83485243717","376.337130199149","364.638848367835","390.142472043674","400.062928196636","441.572990597411","446.498881998136","526.987704910508","555.452844555771","575.335225304723","640.266550820855","642.020949322942","635.419216427743","625.168660142437","624.654881994471","",
"Angola","AGO","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3183.00459060484","","","","","","","",
"Albania","ALB","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1978.52847041537","1774.04160580051","1959.92665568938","2225.96309554922","2406.79360366377","2627.80478345871","2729.01418145985","2905.30804128706","3073.04736289763","3253.22663818489","3482.12479078013","3710.84260173027","3794.75278419192","3863.48209473733","4053.45441917706","4210.59654464385","4245.6582542174","4337.65841091759","4361.96967481863","4482.62643662697","4612.78541569844","",
"Andorra","AND","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4826.79063957018","4706.70570298856","4938.60022743329","5176.97624407229","5320.68161802113","5543.6988336874","5720.95164279394","5898.1592394503","5759.58838650653","5867.86022798407","6097.09237005221","6233.56734280935","6265.62445479535","6380.58551881716","6526.15295048342","6555.66044067128","",
"United Arab Emirates","ARE","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63236.6130129685","59177.3386540725","59842.344215996","60319.3026284082","57123.275284296","55184.2461605747","50024.571201483","44299.7621088213","37610.8527168539","35037.0985718969","35562.4989917861","36438.6729188839","38227.7335661349","39101.8326072294","40333.1640270198","41086.655163623","",
"Argentina","ARG","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","5759.80856841331","5978.4506404218","5824.28791094947","5433.20895251251","5896.04669143218","6425.2265105392","6379.11098858032","6257.23945036696","6345.83086310616","6913.8908370289","6800.20957858594","7419.52863774856","7225.65996111161","7441.52215349214","7720.76916593996","7670.32107655064","7302.70194239219","7630.92124320636","7191.3246728836","7788.17675197376","7990.20912201562","7309.78147420837","6588.38822504974","6759.10313548448","6836.34994390204","6208.96084306293","6657.99123249974","6741.26983386699","6490.47169505733","5669.3188651284","5698.62004642707","6408.20932180684","7157.95171534576","7522.02207391682","7846.39614796222","7501.89147247677","7802.71956524574","8327.73168419551","8520.78696841845","8131.02443210416","7974.72322235953","7525.42296102399","6328.22002284278","6894.01982135297","7469.93848724828","8212.60909927472","8823.70792747842","9584.12177266688","9879.48902905103","9143.68124205762","9925.0194045559","10468.5600312477","10306.7758233483","10470.6183754876","10114.9009220304","10292.4050215658","9926.90958205699","",
"Armenia","ARM","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1720.82983355919","1599.44574058159","762.596644682815","801.387805767834","956.187184104885","1042.38714453054","1153.44192223616","1243.54112390462","1308.3312965329","1357.35224043725","1443.5462642889","1596.07824112929","1828.7752143319","2089.98060582388","2313.31060148852","2683.38955117193","3077.22066478896","3553.55734924443","3848.66471734948","3264.09306813025","3377.65586424811","3487.31865856562","3742.9151527687","3921.52283350712","3990.68130193428","4084.58236484133","4007.38577592338","",
"American Samoa","ASM","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11842.0433617505","","","","","","","",
"Australia","AUS","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","19014.9177380055","19123.4203289982","18957.6855414447","19704.9162157188","20679.373097642","21537.4743935271","21536.3967090529","22611.7697936868","23267.4479216719","24393.7154222989","25631.6237565933","25794.9880119823","26359.0341914971","26626.5981969232","27091.5546602864","27149.9172739549","27447.1213145859","28118.8662510459","28040.6647253182","28842.0962404818","29298.3265926361","29873.8506410551","30370.6070879372","29406.2413975212","30208.7856633729","31212.4687976354","31932.0872089208","32233.9531722538","33498.599091412","33999.7235519883","34477.2833374153","33893.7452044365","33858.2779315801","35063.7555759303","36123.4045916123","36868.378046962","37783.632226041","38902.0114866308","40293.5819872741","41853.3542898381","43051.2236438586","43322.1686033211","44476.6773123204","45239.5714814006","46540.9083620377","46978.7933959734","47554.8438501091","48717.3182134756","49690.8884530312","49836.8111818626","49860.2591352614","50187.57472792","51631.3444766769","52376.8860524255","52856.4272288284","53686.3387011246","54364.2791192555","",
"Austria","AUT","GNI per capita (constant 2010 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","19533.1590208039","20459.37905388","21571.0614066399","22491.5374022951","23410.9091197969","23369.1906705609","24443.1485807662","25658.5641583761","25626.3569028943","27080.3125314854","27590.1865368764","27505.4978356588","28072.7380126384","28958.3576265606","28988.6831453825","29723.538216348","30264.9727641392","30643.9907094648","31771.7339451841","32968.2061849688","34193.9952098153","34850.7595567234","35121.6657405622","35041.5949128038","35673.9534704164","36441.1806874717","37390.2655306002","38014.1283450649","39266.2548930597","40193.4860714932","41752.6569438272","41940.9827189876","42767.4611679955","43025.1062168006","43966.9192255828","44569.9802555894","46042.6310624173","47395.9209602453","48427.8782558484","46061.9498790165","47250.0083676307","48172.2616938125","48197.8291234423","48056.745276855","47949.1455563843","47485.9165755076","47972.0905086471","",
