"Date";"DAXPrices"
"1";"2012-01-03";6166,57
"2";"2012-01-04";6111,55
"3";"2012-01-05";6095,99
"4";"2012-01-06";6057,92
"5";"2012-01-09";6017,23
"6";"2012-01-10";6162,98
"7";"2012-01-11";6152,34
"8";"2012-01-12";6179,21
"9";"2012-01-13";6143,08
"10";"2012-01-16";6220,01
"11";"2012-01-17";6332,93
"12";"2012-01-18";6354,57
"13";"2012-01-19";6416,26
"14";"2012-01-20";6404,39
"15";"2012-01-23";6436,62
"16";"2012-01-24";6419,22
"17";"2012-01-25";6421,85
"18";"2012-01-26";6539,85
"19";"2012-01-27";6511,98
"20";"2012-01-30";6444,45
"21";"2012-01-31";6458,91
"22";"2012-02-01";6616,64
"23";"2012-02-02";6655,63
"24";"2012-02-03";6766,67
"25";"2012-02-06";6764,83
"26";"2012-02-07";6754,2
"27";"2012-02-08";6748,76
"28";"2012-02-09";6788,8
"29";"2012-02-10";6692,96
"30";"2012-02-13";6738,47
"31";"2012-02-14";6728,19
"32";"2012-02-15";6757,94
"33";"2012-02-16";6751,96
"34";"2012-02-17";6848,03
"35";"2012-02-20";6948,25
"36";"2012-02-21";6908,18
"37";"2012-02-22";6843,87
"38";"2012-02-23";6809,46
"39";"2012-02-24";6864,43
"40";"2012-02-27";6849,6
"41";"2012-02-28";6887,63
"42";"2012-02-29";6856,08
"43";"2012-03-01";6941,77
"44";"2012-03-02";6921,37
"45";"2012-03-05";6866,46
"46";"2012-03-06";6633,11
"47";"2012-03-07";6671,11
"48";"2012-03-08";6834,54
"49";"2012-03-09";6880,21
"50";"2012-03-12";6901,35
"51";"2012-03-13";6995,91
"52";"2012-03-14";7079,42
"53";"2012-03-15";7144,45
"54";"2012-03-16";7157,82
"55";"2012-03-19";7154,22
"56";"2012-03-20";7054,94
"57";"2012-03-21";7071,32
"58";"2012-03-22";6981,26
"59";"2012-03-23";6995,62
"60";"2012-03-26";7079,23
"61";"2012-03-27";7078,9
"62";"2012-03-28";6998,8
"63";"2012-03-29";6875,15
"64";"2012-03-30";6946,83
"65";"2012-04-02";7056,65
"66";"2012-04-03";6982,28
"67";"2012-04-04";6784,06
"68";"2012-04-05";6775,26
"69";"2012-04-06";6775,26
"70";"2012-04-09";6775,26
"71";"2012-04-10";6606,43
"72";"2012-04-11";6674,73
"73";"2012-04-12";6743,24
"74";"2012-04-13";6583,9
"75";"2012-04-16";6625,19
"76";"2012-04-17";6801
"77";"2012-04-18";6732,03
"78";"2012-04-19";6671,22
"79";"2012-04-20";6750,12
"80";"2012-04-23";6523
"81";"2012-04-24";6590,41
"82";"2012-04-25";6704,5
"83";"2012-04-26";6739,9
"84";"2012-04-27";6801,32
"85";"2012-04-30";6761,19
"86";"2012-05-01";6761,19
"87";"2012-05-02";6710,77
"88";"2012-05-03";6694,44
"89";"2012-05-04";6561,47
"90";"2012-05-07";6569,48
"91";"2012-05-08";6444,74
"92";"2012-05-09";6475,31
"93";"2012-05-10";6518
"94";"2012-05-11";6579,93
"95";"2012-05-14";6451,97
"96";"2012-05-15";6401,06
"97";"2012-05-16";6384,26
"98";"2012-05-17";6308,96
"99";"2012-05-18";6271,22
"100";"2012-05-21";6331,04
"101";"2012-05-22";6435,6
"102";"2012-05-23";6285,75
"103";"2012-05-24";6315,89
"104";"2012-05-25";6339,94
"105";"2012-05-28";6323,19
"106";"2012-05-29";6396,84
"107";"2012-05-30";6280,8
"108";"2012-05-31";6264,38
"109";"2012-06-01";6050,29
"110";"2012-06-04";5978,23
"111";"2012-06-05";5969,4
"112";"2012-06-06";6093,99
"113";"2012-06-07";6144,22
"114";"2012-06-08";6130,82
"115";"2012-06-11";6141,05
"116";"2012-06-12";6161,24
"117";"2012-06-13";6152,49
"118";"2012-06-14";6138,61
"119";"2012-06-15";6229,41
"120";"2012-06-18";6248,2
"121";"2012-06-19";6363,36
"122";"2012-06-20";6392,13
"123";"2012-06-21";6343,13
"124";"2012-06-22";6263,25
"125";"2012-06-25";6132,39
"126";"2012-06-26";6136,69
"127";"2012-06-27";6228,99
"128";"2012-06-28";6149,91
"129";"2012-06-29";6416,28
"130";"2012-07-02";6496,08
"131";"2012-07-03";6578,21
"132";"2012-07-04";6564,8
"133";"2012-07-05";6535,56
"134";"2012-07-06";6410,11
"135";"2012-07-09";6387,57
"136";"2012-07-10";6438,33
"137";"2012-07-11";6453,85
"138";"2012-07-12";6419,35
"139";"2012-07-13";6557,1
"140";"2012-07-16";6565,72
"141";"2012-07-17";6577,64
"142";"2012-07-18";6684,42
"143";"2012-07-19";6758,39
"144";"2012-07-20";6630,02
"145";"2012-07-23";6419,33
"146";"2012-07-24";6390,41
"147";"2012-07-25";6406,52
"148";"2012-07-26";6582,96
"149";"2012-07-27";6689,4
"150";"2012-07-30";6774,06
"151";"2012-07-31";6772,26
"152";"2012-08-01";6754,46
"153";"2012-08-02";6606,09
"154";"2012-08-03";6865,66
"155";"2012-08-06";6918,72
"156";"2012-08-07";6967,95
"157";"2012-08-08";6966,15
"158";"2012-08-09";6964,99
"159";"2012-08-10";6944,56
"160";"2012-08-13";6909,68
"161";"2012-08-14";6974,39
"162";"2012-08-15";6946,8
"163";"2012-08-16";6996,29
"164";"2012-08-17";7040,88
"165";"2012-08-20";7033,68
"166";"2012-08-21";7089,32
"167";"2012-08-22";7017,75
"168";"2012-08-23";6949,57
"169";"2012-08-24";6971,07
"170";"2012-08-27";7047,45
"171";"2012-08-28";7002,68
"172";"2012-08-29";7010,57
"173";"2012-08-30";6895,49
"174";"2012-08-31";6970,79
"175";"2012-09-03";7014,83
"176";"2012-09-04";6932,58
"177";"2012-09-05";6964,69
"178";"2012-09-06";7167,33
"179";"2012-09-07";7214,5
"180";"2012-09-10";7213,7
"181";"2012-09-11";7310,11
"182";"2012-09-12";7343,53
"183";"2012-09-13";7310,32
"184";"2012-09-14";7412,13
"185";"2012-09-17";7403,69
"186";"2012-09-18";7347,69
"187";"2012-09-19";7390,76
"188";"2012-09-20";7389,49
"189";"2012-09-21";7451,62
"190";"2012-09-24";7413,16
"191";"2012-09-25";7425,11
"192";"2012-09-26";7276,51
"193";"2012-09-27";7290,02
"194";"2012-09-28";7216,15
"195";"2012-10-01";7326,73
"196";"2012-10-02";7305,86
